raw_database_id,cardName,status,price,isLegacy,pokedexNumber,imageUrl,possessions,type,cardNumber,rarity,series,createdAt
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_117.png,,,SV10-117,SR,sv10 -「로켓단의 영광」,
,뽀삐,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV3-130.png,,,SV3-130,SR,sv3 - 「흑염의 지배자」,
,호브의 우르,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV9-112.png,,,SV9-112,AR,sv9 -「배틀파트너즈」,
,이브이 ex,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV8a-223.png,,,SV8a-223,SAR,sv8a -「테라스탈 페스타 ex」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_099.png,,,SV2P-099,UR,sv2P -「스노해저드」,
,라티오스,보유중,0,,,https://mtg-kr.com/cardimage/poketcgSV7a-070.png,,포켓몬,SV7a-070,AR,sv7a -「낙원드래고나」,
,돈크로우 V,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS9-109.png,,,S9-109,SR,s9 -「스타버스」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_089.png,,,SV5M-089,SR,sv5M -「사이버저지」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_105.png,,,SV10-105,AR,sv10 -「로켓단의 영광」,
,,미보유,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6A/SM6A_056.png,,포켓몬,SM6a-056,SR,sm6a -「드래곤스톰」,
,기기어르,보유중,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_147.png,,포켓몬,SV11W-147,AR,sv11W -「화이트플레어」,
,앗차키,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_106.png,,,SV11B-106,AR,sv11B -「블랙볼트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_086.png,,,SV4M-086,SR,sv4M -「미래의 일섬」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_080.png,,,SV9a-080,SR,sv9a -「열풍의 아레나」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_127.png,,,SV11B-127,AR,sv11B -「블랙볼트」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-190.png,,,S8b-190,CHR,s8b -「VMAX 클라이맥스」,
,레시라무 ex,등급카드,0,,,https://mtg-kr.com/cardimage/poketcgSV11W-174.png,,포켓몬,SV11W-174,BWR,sv11W -「화이트플레어」,
,레쿠쟈 Vmax,등급카드,0,true,384,https://mtg-kr.com/cardimage/poketcgS8b-252.png,,포켓몬,S8b-252,CSR,s8b -「VMAX 클라이맥스」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_172.png,,,SM8b-172,S,sm8b -「울트라샤이니」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_075.png,,,SV5a-075,AR,sv5a -「크림슨헤이즈」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_099.png,,,SV10-099,AR,sv10 -「로켓단의 영광」,
,아크로마의 실험,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS12a-238.png,,서포트,S12a-238,SAR,s12a -「VSTAR 유니버스」,
,로켓단의 비주기,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_128.png,,포켓몬,SV10-128,SAR,sv10 -「로켓단의 영광」,
,빛나,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgM2-107.png,,,M2-107,SR,m2 -「인페르노X」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS9-125.png,,,S9-125,UR,s9 -「스타버스」,
,알로라 닥트리오,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV8-116.png,,,SV8-116,AR,sv8 -「초전브레이커」,
,돌핀맨 ex,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_207.png,,,SV8a-207,SAR,sv8a -「테라스탈 페스타 ex」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM2-099.png,,,M2-099,SR,m2 -「인페르노X」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_196.png,,,SM8b-196,S,sm8b -「울트라샤이니」,
,흑마 버드렉스 V,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-235.png,,,S8b-235,CSR,s8b -「VMAX 클라이맥스」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS9a-093.png,,,S9a-093,UR,s9a -「배틀리전」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_197.png,,,SV8a-197,SR,sv8a -「테라스탈 페스타 ex」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_210.png,,,SM8b-210,SSR,sm8b -「울트라샤이니」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_220.png,,,SM8b-220,SSR,sm8b -「울트라샤이니」,
,전툴라 ex,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_128.png,,포켓몬,SV7-128,SAR,sv7 -「스텔라미라클」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM1L-078.png,,,M1L-078,SR,m1L -「메가 브레이브」,
,메가디안시 ex,미보유,0,true,719,https://mtg-kr.com/cardimage/poketcgM2a-227.png,,포켓몬,M2a-227,MA,m2a -「메가드림」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS11a-087.png,,,S11a-087,HR,s11a -「백열의 아르카나」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM2-096.png,,,M2-096,SR,m2 -「인페르노X」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_112.png,,,SV6-112,AR,sv6 -「변환의 가면」,
,암나이트,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV2a-180.png,,,SV2a-180,AR,sv2a -「포켓몬 카드 151」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-206.png,,,S8b-206,CHR,s8b -「VMAX 클라이맥스」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS9a-080.png,,,S9a-080,SR,s9a -「배틀리전」,
,마이농,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_066.png,,,SV3a-066,AR,sv3a -「레이징서프」,
,월로,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS12a-248.png,,서포트,S12a-248,SR,s12a -「VSTAR 유니버스」,
,가라르 썬더,보유중,0,,145,https://mtg-kr.com/cardimage/poketcgS12a-188.png,,포켓몬,S12a-188,AR,s12a -「VSTAR 유니버스」,
,레어코일,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV8-112.png,,포켓몬,SV8-112,AR,sv8 -「초전브레이커」,
,오거폰 주춧돌의 가면 ex,미보유,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_216.png,,포켓몬,SV8a-216,SAR,sv8a -「테라스탈 페스타 ex」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_176.png,,,SM8b-176,S,sm8b -「울트라샤이니」,
,님피아 GX,등급카드,0,true,,https://mtg-kr.com/cardimage/poketcgSM8b-238.png,,,SM8b-238,SSR,sm8b -「울트라샤이니」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_124.png,,,SV3-124,SR,sv3 - 「흑염의 지배자」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_360.png,,,SV4a-360,UR,sv4a -「샤이니트레저 ex」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6B/SM6B_063.png,,서포트,SM6b-063,SR,sm6b -「챔피언로드」,
,켈리몬,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV8-118.png,,,SV8-118,AR,sv8 -「초전브레이커」,
,난천의 패기,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS9-113.png,,서포트,S9-113,SR,s9 -「스타버스」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_113.png,,,SV11W-113,AR,sv11W -「화이트플레어」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-209.png,,,S8b-209,CHR,s8b -「VMAX 클라이맥스」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgMC-746.png,,,MC-746,기타 AR,MC - MEGA「스타트 덱 100 배틀컬렉션」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_084.png,,,SV6a-084,SR,sv6a -「나이트원더러」,
,제크로무 ex,등급카드,0,true,,https://mtg-kr.com/cardimage/poketcgSV11B-174.png,,포켓몬,SV11B-174,BWR,sv11B -「블랙볼트」,
,N의 방안,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_165.png,,,SV11B-165,SR,sv11B -「블랙볼트」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_149.png,,,SV11W-149,AR,sv11W -「화이트플레어」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_145.png,,,SV11W-145,AR,sv11W -「화이트플레어」,
,비파,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_191.png,,,SV8a-191,SR,sv8a -「테라스탈 페스타 ex」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_079.png,,,SV4K-079,SR,sv4K -「고대의 포효」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1A/SV1A_086.png,,,SV1a-086,SR,sv1a -「트리플렛비트」,
,마나피,보유중,0,,490,https://mtg-kr.com/cardimage/poketcgS12a-178.png,,포켓몬,S12a-178,AR,s12a -「VSTAR 유니버스」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_113.png,,,SV11B-113,AR,sv11B -「블랙볼트」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_076.png,,,SV5a-076,AR,sv5a -「크림슨헤이즈」,
,N의 조로아크 ex,미보유,0,,,https://mtg-kr.com/cardimage/poketcgM2a-242.png,,포켓몬,M2a-242,SAR,m2a -「메가드림」,
,라티아스 ex,보유중,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7A/SV7A_087.png,,포켓몬,SV7a-087,SAR,sv7a -「낙원드래고나」,
,타부자고 ex,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_087.png,,,SV3a-087,SAR,sv3a -「레이징서프」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV1V-081.png,,,SV1V-081,AR,sv1V -「바이올렛 ex」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgM2a-203.png,,,M2a-203,AR,m2a -「메가드림」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_146.png,,,SV11W-146,AR,sv11W -「화이트플레어」,
,리오르,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS12a-201.png,,포켓몬,S12a-201,AR,s12a -「VSTAR 유니버스」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_081.png,,,SV9a-081,SR,sv9a -「열풍의 아레나」,
,히스이 찌리리공,보유중,0,,100,%ED%9E%88%EC%8A%A4%EC%9D%B4_%EC%B0%8C%EB%A6%AC%EB%A6%AC%EA%B3%B5_S12a_173_KOR.png,,포켓몬,S12a-173,AR,s12a -「VSTAR 유니버스」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_146.png,,,SV11B-146,AR,sv11B -「블랙볼트」,
,,미보유,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6B/SM6B_056.png,,포켓몬,SM6b-056,SR,sm6b -「챔피언로드」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_098.png,,,SV2P-098,UR,sv2P -「스노해저드」,
,슈륙챙이,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV2a-176.png,,,SV2a-176,AR,sv2a -「포켓몬 카드 151」,
,램프라,보유중,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_101.png,,포켓몬,SV11B-101,AR,sv11B -「블랙볼트」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_111.png,,,SV11W-111,AR,sv11W -「화이트플레어」,
,벨의 진심,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV5M-090.png,,,SV5M-090,SR,sv5M -「사이버저지」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_077.png,,,SV5K-077,AR,sv5K -「와일드포스」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_131.png,,,SV10-131,UR,sv10 -「로켓단의 영광」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_087.png,,,SV4K-087,SR,sv4K -「고대의 포효」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_091.png,,,SV11W-091,AR,sv11W -「화이트플레어」,
,샤로다 V,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS11a-084.png,,,S11a-084,CSR,s11a -「백열의 아르카나」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_122.png,,,SV6-122,SR,sv6 -「변환의 가면」,
,레쿠쟈 GX,미보유,0,true,0384,https://mtg-kr.com/cardimage/poketcgSM8b-209.png,,포켓몬,SM8b-240,SSR,sm8b -「울트라샤이니」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgM1L-070.png,,,M1L-070,AR,m1L -「메가 브레이브」,
,가라르 프리져,보유중,0,,144,https://mtg-kr.com/cardimage/poketcgS12a-182.png,,포켓몬,S12a-182,AR,s12a -「VSTAR 유니버스」,
,가디안 ex,미보유,0,,282,https://mtg-kr.com/cardimage/poketcgSV4a-348.png,,포켓몬,SV4a-348,SAR,sv4a -「샤이니트레저 ex」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_130.png,,,SV10-130,UR,sv10 -「로켓단의 영광」,
,마임맨,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV2a-179.png,,,SV2a-179,AR,sv2a -「포켓몬 카드 151」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_086.png,,,SV6a-086,SR,sv6a -「나이트원더러」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-261.png,,서포트,S8b-261,SR,s8b -「VMAX 클라이맥스」,
,입치트 V,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS11a-085.png,,포켓몬,S11a-085,CSR,s11a -「백열의 아르카나」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgM1L-069.png,,,M1L-069,AR,m1L -「메가 브레이브」,
,아이앤트 ex,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8/SV8_130.png,,,SV8-130,SAR,sv8 -「초전브레이커」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_115.png,,,SV11B-115,AR,sv11B -「블랙볼트」,
,팔데아 우파,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV1a-085.png,,,SV1a-085,AR,sv1a -「트리플렛비트」,
,아리아도스,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-205.png,,,S8b-205,CHR,s8b -「VMAX 클라이맥스」,
,아르세우스 Vstar,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS12a-262.png,,,S12a-262,UR,s12a -「VSTAR 유니버스」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS10P-068.png,,,S10P-068,SR,s10P -「스페이스 저글러」,
,독침붕 V,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS10P-069.png,,,S10P-069,SR,s10P -「스페이스 저글러」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM2-105.png,,,M2-105,SR,m2 -「인페르노X」,
,리자몽 V,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS9-103.png,,포켓몬,S9-103,SR,s9 -「스타버스」,
,샹델라,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_102.png,,,SV11B-102,AR,sv11B -「블랙볼트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1A/SV1A_103.png,,,SV1a-103,UR,sv1a -「트리플렛비트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_237.png,,,SV8a-237,UR,sv8a -「테라스탈 페스타 ex」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_081.png,,,SV5a-081,SR,sv5a -「크림슨헤이즈」,
,앤테이 V,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS12a-213.png,,,S12a-213,SAR,s12a -「VSTAR 유니버스」,
,어니부기,보유중,0,true,8,https://mtg-kr.com/cardimage/poketcgSV2a-171.png,,,SV2a-171,AR,sv2a -「포켓몬 카드 151」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-204.png,,,S8b-204,CHR,s8b -「VMAX 클라이맥스」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_106.png,,,SV7-106,AR,sv7 -「스텔라미라클」,
,유나가바 부스터,등급카드,0,true,,,,,,PROMO,PROMO,
,다크라이 Vstar,보유중,0,true,491,https://mtg-kr.com/cardimage/poketcgS12a-228.png,,,S12a-228,SAR,s12a -「VSTAR 유니버스」,
,세류,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_092.png,,,SV5a-092,SAR,sv5a -「크림슨헤이즈」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_072.png,,,SV5K-072,AR,sv5K -「와일드포스」,
,빈티나,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV8-110.png,,,SV8-110,AR,sv8 -「초전브레이커」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM2a-232.png,,,M2a-232,MA,m2a -「메가드림」,
,메가곤율거니 ex,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgM2a-241.png,,포켓몬,M2a-241,SAR,m2a -「메가드림」,
,메가이상해꽃,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_087.png,,포켓몬,M1L-087,SAR,m1L -「메가 브레이브」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_076.png,,,SV6a-076,AR,sv6a -「나이트원더러」,
,메가디안시 ex,보유중,0,true,719,https://mtg-kr.com/cardimage/poketcgM2a-238.png,,포켓몬,M2a-238,SAR,m2a -「메가드림」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS10a-081.png,,,S10a-081,,s10a -「다크판타스마」,
,멜리시,미보유,0,true,703,https://mtg-kr.com/cardimage/poketcgMC-752.png,,,MC-752,기타 AR,MC - MEGA「스타트 덱 100 배틀컬렉션」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS11-102.png,,,S11-102,SR,s11 -「로스트어비스」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_141.png,,,SV11B-141,AR,sv11B -「블랙볼트」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_140.png,,,SV11B-140,AR,sv11B -「블랙볼트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11A/SM11A_072.png,,,SM11a-072,SR,sm11a -「리믹스바우트」,
,노고고치,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV2P-083.png,,,SV2P-083,AR,sv2P -「스노해저드」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_334.png,,,SV4a-334,SSR,sv4a -「샤이니트레저 ex」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM1S-086.png,,,M1S-086,SR,m1S -「메가 심포니아」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_086.png,,,SV4K-086,SR,sv4K -「고대의 포효」,
,활화르바,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV8-108.png,,,SV8-108,AR,sv8 -「초전브레이커」,
,잠만보,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV2a-181.png,,포켓몬,SV2a-181,AR,sv2a -「포켓몬 카드 151」,
,실버디 GX,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_065.png,,,SM11b-065,SR,sm11b -「드림리그」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM2a-218.png,,,M2a-218,SR,m2a -「메가드림」,
,네오라이트 V,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgS12a-216.png,,,S12a-216,SAR,s12a -「VSTAR 유니버스」,
,,미보유,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_320.png,,포켓몬,SV4a-320,SSR,sv4a -「샤이니트레저 ex」,
,비크티니,등급카드,0,,494,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV-P/SV-P_202.png?w=512,,포켓몬,,PROMO,PROMO,
,브라이어,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_131.png,,,SV7-131,SAR,sv7 -「스텔라미라클」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2D/SV2D_072.png,,,SV2D-072,AR,sv2D -「클레이버스트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_084.png,,,SV5M-084,SR,sv5M -「사이버저지」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_132.png,,,SV3-132,SR,sv3 - 「흑염의 지배자」,
,제크로무 ex,등급카드,0,true,,https://mtg-kr.com/cardimage/poketcgSV11B-169.png,,포켓몬,SV11B-169,SAR,sv11B -「블랙볼트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9/SV9_119.png,,,SV9-119,SR,sv9 -「배틀파트너즈」,
,마기라스,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV2D-079.png,,,SV2D-079,AR,sv2D -「클레이버스트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_079.png,,,SV9a-079,SR,sv9a -「열풍의 아레나」,
,또가스,미보유,0,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_056.png,,포켓몬,SM11b-056,CHR,sm11b -「드림리그」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_069.png,,,SV4K-069,AR,sv4K -「고대의 포효」,
,몰드류 ex,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,,,SV11B-171,SAR,sv11B -「블랙볼트」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS9-120.png,,,S9-120,HR,s9 -「스타버스」,
,스트린더,보유중,0,,849,https://mtg-kr.com/cardimage/poketcgS12a-181.png,,포켓몬,S12a-181,AR,s12a -「VSTAR 유니버스」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_072.png,,,SV5M-072,AR,sv5M -「사이버저지」,
,메가이상해꽃 ex,보유중,0,true,3,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_087.png,[object Object],포켓몬,M1L-087,SAR,m1L -「메가 브레이브」,
,규리의 눈빛,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8/SV8_134.png,,서포트,SV8-134,SAR,sv8 -「초전브레이커」,
,리자몽 ex,미보유,0,,6,https://mtg-kr.com/cardimage/poketcgSV4a-349.png,,포켓몬,SV4a-349,SAR,sv4a -「샤이니트레저 ex」,
,그루샤,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_095.png,,서포트,SV2P-095,SAR,sv2P -「스노해저드」,
