raw_database_id,pokedexNumber,cardName,rarity,series,cardNumber,type,imageUrl,status,price
b5SVKTogQTzNMGd2ne5c,,갑주무사 ex,SAR,sv4K -「고대의 포효」,SV4K-088,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_088.png,미보유,0
kXQOdfH6WyIzcDZomNhA,,강철톤,CHR,sm11b -「드림리그」,SM11b-060,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_060.png,미보유,0
D2B3eLaKZtBuloklNXve,,개굴닌자 ex,SAR,sv5a -「크림슨헤이즈」,SV5a-090,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_090.png,미보유,0
KDpTU2IuCqr81iwNi8qS,,개굴닌자 GX,SSR,sm8b -「울트라샤이니」,SM8b-216,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_216.png,미보유,0
TBF4FroWQlcwrwW1AsyW,9,거북왕 EX,SR,XY 확장팩 제1탄 「Y컬렉션」,,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/XY1/K1_Y_061.jpg,보유중,0
eoYiTAP5jLhPhstW5R0Z,9,거북왕 EX,SR,XY BREAK 확장팩 BASE PACK 20th Anniversary,105/100,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_105.jpg,미보유,0
OYtpDFHfLO7nh4j4nGqN,9,거북왕 ex,SAR,sv2a -「포켓몬 카드 151」,SV2a-202,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2A/SV2A_202.png,보유중,0
jxyAPLzpYASppajgpIjF,9,거북왕 ex,SR,sv2a -「포켓몬 카드 151」,SV2a-186,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2A/SV2A_186.png,보유중,0
RFlNOI7JwpyTkifwmxtF,,거북왕&팽도리 GX,SR,sm11a -「리믹스바우트」,SM11a-069,포켓몬,https://mtg-kr.com/cardimage/poketcgSM11a-069.png,보유중,0
TJELHtqWlIyNtFS9fQLp,,게노세크트 ex,SAR,sv11B -「블랙볼트」,SV11B-172,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_172.png,보유중,0
qOwutNQLfMCDp1sJ7IEe,,게을로,AR,sv8 -「초전브레이커」,SV8-117,포켓몬,https://mtg-kr.com/cardimage/poketcgSV8-117.png,보유중,0
qzDjWTLxAfSKhr1TNIMq,,고동치는달 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-218,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_218.png,미보유,0
OSFd5je8hReU6HFtXnGP,,고동치는달 ex,SAR,sv4K -「고대의 포효」,SV4K-090,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_090.png,미보유,0
0OsFyQg7dvuoBhudwBgh,,고디보미,AR,sv2P -「스노해저드」,SV2P-078,포켓몬,https://mtg-kr.com/cardimage/poketcgSV2P-078.png,보유중,0
nxHkOdwe4cEu0tuzKo9m,,고라파덕,AR,sv2a -「포켓몬 카드 151」,SV2a-175,포켓몬,https://mtg-kr.com/cardimage/poketcgSV2a-175.png,보유중,0
bkH16PWCwTHjD9lo4j2e,,고라파덕,AR,m2a -「메가드림」,M2a-199,포켓몬,https://mtg-kr.com/cardimage/poketcgM2a-199.png,보유중,0
Tryz2VgiE84022QHk7Q7,,고래왕,AR,sv9 -「배틀파트너즈」,SV9-103,포켓몬,https://mtg-kr.com/cardimage/poketcgSV9-103.png,보유중,0
wO2HucHHG6nMV9Qirndq,,과미드라,AR,sv9a -「열풍의 아레나」,SV9a-068,포켓몬,https://mtg-kr.com/cardimage/poketcgSV9a-068.png,보유중,0
He3BUCfnMH3KeO0km6CM,,과미드라 ex,SAR,sv7 -「스텔라미라클」,SV7-127,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_127.png,미보유,0
NBSvJ6mX0szEnlXrZWUw,,구구,AR,sv3 - 「흑염의 지배자」,SV3-118,포켓몬,https://mtg-kr.com/cardimage/poketcgSV3-118.png,보유중,0
9ZsV4mYJBzh9efHe1rhD,,굽이치는물결 ex,SAR,sv5K -「와일드포스」,SV5K-094,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_094.png,미보유,0
PZMN2xfxOCdb4tQzSeOO,,굽이치는물결 ex,SR,sv5K -「와일드포스」,SV5K-086,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_086.png,보유중,0
8Haef7CLN5nlqKQdCQhZ,402,귀뚤톡크,AR,s12a -「VSTAR 유니버스」,S12a-174,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-174.png,보유중,0
wLyv7m8Nzhxw9tnrpirY,,그우린차 ex,SAR,sv5a -「크림슨헤이즈」,SV5a-089,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_089.png,미보유,0
XypILiHM7HWcpsoIxPWf,,그푸리,AR,sv2P -「스노해저드」,SV2P-072,포켓몬,https://mtg-kr.com/cardimage/poketcgSV2P-072.png,보유중,0
pd9GcguanLYfgGeLBVud,,근육몬,AR,sv2a -「포켓몬 카드 151」,SV2a-177,포켓몬,https://mtg-kr.com/cardimage/poketcgSV2a-177.png,보유중,0
y6I3tLUhwRHbGR5iNzZL,471,글레이시아 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-206,포켓몬,https://mtg-kr.com/cardimage/poketcgSV8a-206.png,보유중,0
CBuLpIcBYRxSeM5UKz7N,471,글레이시아 V,SR,s6a -「이브이 히어로즈」,S6a-077,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-077.png,보유중,0
ux8UPQ6K96Tl9EwQjnYw,471,글레이시아 V,SR,s6a -「이브이 히어로즈」,S6a-076,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-076.png,보유중,0
ejuofkt85uKJsw1HMyew,471,글레이시아 Vmax,HR,s6a -「이브이 히어로즈」,S6a-091,포켓몬,%EA%B8%80%EB%A0%88%EC%9D%B4%EC%8B%9C%EC%95%84_VMAX_S6a_091_KOR.jpg,등급카드,0
ohZh9TmO4FrrEO3uPn2l,471,글레이시아 Vmax,HR,s6a -「이브이 히어로즈」,S6a-091,포켓몬,%EA%B8%80%EB%A0%88%EC%9D%B4%EC%8B%9C%EC%95%84_VMAX_S6a_091_KOR.jpg,등급카드,0
848YFmRiOjekMKhzunsH,471,글레이시아 Vstar,SAR,s12a -「VSTAR 유니버스」,S12a-217,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-217.png,보유중,0
0r4kjNMYADgqsxqWtRzZ,,기기어르,AR,sv11W -「화이트플레어」,SV11W-147,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_147.png,보유중,0
E48CglLhjSXxZYHHgEAa,,기라티나 V,SR,s11 -「로스트어비스」,S11-111,포켓몬,https://mtg-kr.com/cardimage/poketcgS11-111.png,보유중,0
HHsd6QEWDIcgV0IVeVHy,,기라티나 Vstar,UR,s12a -「VSTAR 유니버스」,S12a-261,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-261.png,보유중,0
BC2nttjGzhcHmds3UubK,,기라티나 Vstar,UR,s11 -「로스트어비스」,S11-125,포켓몬,https://mtg-kr.com/cardimage/poketcgS11-125.png,등급카드,0
Oxp8lUAmfgy83loXRqIG,,기로치 ex,SAR,sv6a -「나이트원더러」,SV6a-089,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_089.png,미보유,0
8uAefklQ3t4hkJBadPQc,,기로치 ex,SAR,m2a -「메가드림」,M2a-244,포켓몬,https://mtg-kr.com/cardimage/poketcgM2a-244.png,보유중,0
DwPAT1uWoGgUwsmGozC7,,깜놀버슬,AR,sv11B -「블랙볼트」,SV11B-095,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_095.png,보유중,0
zlKho188ECfax3JGE6e6,551,깜눈크,AR,sv1S -「스칼렛 ex」,SV1S-087,포켓몬,https://mtg-kr.com/cardimage/poketcgSV1S-087.png,보유중,0
rYMea3Nq6SztrIpw0sC3,7,꼬부기,AR,sv2a -「포켓몬 카드 151」,SV2a-170,포켓몬,https://mtg-kr.com/cardimage/poketcgSV2a-170.png,보유중,0
GDnpFE7da76hBb9d9TJ6,,꼬지모,AR,sv2P -「스노해저드」,SV2P-080,포켓몬,https://mtg-kr.com/cardimage/poketcgSV2P-080.png,보유중,0
VWZNxkJia3Waph57PdAq,,꾸꾸리,AR,sv9 -「배틀파트너즈」,SV9-106,포켓몬,https://mtg-kr.com/cardimage/poketcgSV9-106.png,보유중,0
PrCe4YRqIUEZITX5Pu9U,,꾸왁스,AR,sv1a -「트리플렛비트」,SV1a-081,포켓몬,https://mtg-kr.com/cardimage/poketcgSV1a-081.png,보유중,0
po59DdjqkOkNUzCpgdyY,,꿈트렁,AR,sv2P -「스노해저드」,SV2P-081,포켓몬,https://mtg-kr.com/cardimage/poketcgSV2P-081.png,보유중,0
RUruxZlKfumP40KXuICb,,꿰뚫는화염 ex,SAR,sv5K -「와일드포스」,SV5K-093,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_093.png,보유중,0
miaPSat4wh4WCQII6KJK,,나로테,AR,sv1a -「트리플렛비트」,SV1a-076,포켓몬,https://mtg-kr.com/cardimage/poketcgSV1a-076.png,보유중,0
ebBGvfLUVqzKwXpLecoB,,나오하,AR,sv1a -「트리플렛비트」,SV1a-075,포켓몬,https://mtg-kr.com/cardimage/poketcgSV1a-075.png,보유중,0
NVYLlVALrUGFS2bAlM59,,난천의 한카리아스 ex,SAR,sv9a -「열풍의 아레나」,SV9a-087,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_087.png,미보유,0
zotGtTZiT27zdGO4BZeT,,날뛰는우레 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-222,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_222.png,보유중,0
7fvKoQOVRwtgJyoTRoaD,,날뛰는우레 ex,SAR,sv5K -「와일드포스」,SV5K-095,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_095.png,미보유,0
VIhGUXMUBP4K7yhT6jap,,내던숭이,CHR,s8b -「VMAX 클라이맥스」,S8b-203,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-203.png,보유중,0
oo4QonyoBwELjizadVKT,,내던숭이,CHR,s8b -「VMAX 클라이맥스」,S8b-203,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-203.png,보유중,0
KmuRmj0Pggn2ZEKLH3Ey,,님피아 V,SR,s6a -「이브이 히어로즈」,S6a-083,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-083.png,보유중,0
RGGjO9zmN2nyPEWLTYBR,,님피아 V,SR,s6a -「이브이 히어로즈」,S6a-082,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-082.png,보유중,0
oCvAHRJPRYbxeG4yGJhC,,님피아 Vmax,HR,s6a -「이브이 히어로즈」,S6a-093,포켓몬,https://k-tcgpanda.com/cardimg/S/S6a/%EB%8B%98%ED%94%BC%EC%95%84%20VMAX_S6a_093_KOR.jpg,등급카드,0
lYVhEi932SNAvQzZDDCN,719,디안시,AR,s12a -「VSTAR 유니버스」,S12a-186,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-186.png,보유중,0
VaQ3fZRJKr7dPmB0t6WA,380,라티아스,AR,s12a -「VSTAR 유니버스」,S12a-195,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-195.png,보유중,0
RjJXuaYfbh3aPLAIixcl,131,라프라스,AR,s12a -「VSTAR 유니버스」,S12a-177,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-177.png,보유중,0
V5Up3tLPlplLgzE7ziOH,337,루나톤,AR,s12a -「VSTAR 유니버스」,S12a-184,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-184.png,보유중,0
6sbePChgEHXc0dSa6gnR,6,리자몽 ex,SAR,sv4a -「샤이니트레저 ex」,SV4a-349,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_349.png,미보유,0
KLTH5KdbhE3XqUcfByw2,6,리자몽 ex,SAR,sv2a -「포켓몬 카드 151」,SV2a-201,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2A/SV2A_201.png,미보유,0
LXqOUd3CyRDZUJkul3Jt,,리피아 V,SR,s6a -「이브이 히어로즈」,S6a-070,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-070.png,보유중,0
XdsFqFzzRb1l59pEF0n6,,리피아 V,SR,s6a -「이브이 히어로즈」,S6a-071,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-071.png,보유중,0
lyp1ugSMPCCGdk8vNaIK,,리피아 Vmax,HR,s6a -「이브이 히어로즈」,S6a-089,포켓몬,https://k-tcgpanda.com/cardimg/S/S6a/%EB%A6%AC%ED%94%BC%EC%95%84%20VMAX_S6a_089_KOR.jpg,등급카드,0
k9snoTGCoDDqhoZvWc90,467,마그마번,AR,s12a -「VSTAR 유니버스」,S12a-175,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-175.png,보유중,0
3aiH4QtWA3N47Xz98KXt,490,마나피,AR,s12a -「VSTAR 유니버스」,S12a-178,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-178.png,보유중,0
PnV0e0oLlntjZ9MHNxV7,282,메가가디안 ex,MA,m2a -「메가드림」,M2a-226,포켓몬,https://mtg-kr.com/cardimage/poketcgM2a-226.png,미보유,0
OjqcdLxYP57BJmzYRbah,,메가메가니움 ex,없음,MC - MEGA「스타트 덱 100 배틀컬렉션」,MC-761,포켓몬,https://mtg-kr.com/cardimage/poketcgMC-761.png,보유중,0
ePruGBdHKEyXlFTEH7Xs,132,메타몽,AR,s12a -「VSTAR 유니버스」,S12a-197,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-197.png,보유중,0
oDpvejo1EuYkBRzN4Y47,151,뮤,AR,s12a -「VSTAR 유니버스」,S12a-183,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-183.png,보유중,0
jeeeYONQuez8Hn2EXBAZ,151,뮤 ex,SAR,sv4a -「샤이니트레저 ex」,SV4a-347,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_347.png,미보유,0
xZJ3XMRZQoelG8uwN4SJ,151,뮤 ex,SAR,sv2a -「포켓몬 카드 151」,SV2a-205,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2A/SV2A_205.png,미보유,0
XSm5FBsCaD4rIb4Gdu63,,부스터 V,SR,s6a -「이브이 히어로즈」,S6a-073,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-073.png,보유중,0
YJcZ6lJcG2pJFiXfc0i8,,부스터 V,SR,s6a -「이브이 히어로즈」,S6a-072,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-072.png,보유중,0
SpfcOlwCF8Zn6sKiL44e,,브리두라스 ex,SAR,sv7a -「낙원드래고나」,SV7a-088,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7A/SV7A_088.png,미보유,0
ru5JYxIi6ocVg2SQHbGs,,브리무움 Vmax,SAR,s12a -「VSTAR 유니버스」,S12a-224,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-224.png,보유중,0
8usmZLOQ6CV6Pobk5i5J,,블래키 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-217,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_217.png,미보유,0
X8CAXV1k4AI1kgqN7eyI,,블래키 GX,SSR,sm8b -「울트라샤이니」,SM8b-229,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_229.png,미보유,0
g4jQzGpuntPu5XnehePB,,블래키 V,CSR,s8b -「VMAX 클라이맥스」,S8b-244,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-244.png,보유중,0
02NrozWTPWkRIlwUYgwy,,블래키 V,SR,s6a -「이브이 히어로즈」,S6a-085,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-085.png,보유중,0
sewDcbuRlYmOaJfV9ghv,,블래키 V,SR,s6a -「이브이 히어로즈」,S6a-084,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-084.png,보유중,0
VwGVoMcxUEThw1W8zS5K,,블래키 Vmax,CSR,s8b -「VMAX 클라이맥스」,S8b-245,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/S/S8b/S8b_245.png,보유중,0
zpBGOnz0d4mdWZhsWa78,,블래키 Vmax,HR,s6a -「이브이 히어로즈」,S6a-095,포켓몬,https://k-tcgpanda.com/cardimg/S/S6a/%EB%B8%94%EB%9E%98%ED%82%A4%20VMAX_S6a_095_KOR.jpg,미보유,0
6FxMrn4XtkfIgainzabr,494,비크티니,PROMO,PROMO,,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV-P/SV-P_202.png?w=512,등급카드,0
OFdB8jfbLMro4MzBCrv7,,샤미드 V,SR,s6a -「이브이 히어로즈」,S6a-075,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-075.png,보유중,0
mkGGhTUEbpHfbDQrl0tt,,샤미드 V,SR,s6a -「이브이 히어로즈」,S6a-074,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-074.png,보유중,0
eDz2IW905jxvGQ8r0VHG,,성호의 메타그로스 ex,SAR,m2a -「메가드림」,M2a-245,포켓몬,https://mtg-kr.com/cardimage/poketcgM2a-245.png,보유중,0
Lj2sv5aHSsE8k3xdsi2S,338,솔록,AR,s12a -「VSTAR 유니버스」,S12a-189,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-189.png,보유중,0
6f07tJONYL8bXLV9bCq1,849,스트린더,AR,s12a -「VSTAR 유니버스」,S12a-181,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-181.png,보유중,0
cXVf1QMQLnh0FfXuqLl8,145,썬더 ex,SAR,sv2a -「포켓몬 카드 151」,SV2a-204,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2A/SV2A_204.png,미보유,0
9xUA5nPXjAGO0ozjRkIm,359,앱솔,AR,s12a -「VSTAR 유니버스」,S12a-191,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-191.png,보유중,0
uVNCg8mFmqPL5SLtvF4E,466,에레키블,AR,s12a -「VSTAR 유니버스」,S12a-180,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-180.png,보유중,0
w8ztZ6uQVA5doieku5wO,,에브이 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-211,포켓몬,https://mtg-kr.com/cardimage/poketcgSV8a-211.png,보유중,0
KHUBKi7tEkJb16oerpQF,,에브이 V,SR,s6a -「이브이 히어로즈」,S6a-080,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-080.png,보유중,0
d8epZW3TGxu22JBWXNgf,,에브이 V,SR,s6a -「이브이 히어로즈」,S6a-081,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-081.png,보유중,0
nnM0gH424zSkt4URsebo,,에이스번 ex,SR,sv7 -「스텔라미라클」,SV7-116,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_116.png,미보유,0
wirWqOivLXmzHYnBfFFf,,엘레이드,CHR,sm11b -「드림리그」,SM11b-057,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_057.png,미보유,0
Hw3dnZHtI3tOFBvWTZjg,,엘레이드 V,CSR,s10a -「다크판타스마」,S10a-089,포켓몬,https://mtg-kr.com/cardimage/poketcgS10a-089.png,미보유,0
i9L75eJKrLTvZw7sbM3P,,엘풍 ex,SAR,sv11W -「화이트플레어」,SV11W-167,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_167.png,미보유,0
M8bd6zB3oZwZA3lBdrNQ,,엠라이트,AR,sv8 -「초전브레이커」,SV8-114,포켓몬,poketcgSV8-114.png,보유중,0
XKbkCxr797b3eIniCc2p,,연격 우라오스 V,CSR,s8b -「VMAX 클라이맥스」,S8b-240,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-240.png,미보유,0
sIi3AUEC1Av22ujFGpJ9,,연격 우라오스 Vmax,CSR,s8b -「VMAX 클라이맥스」,S8b-241,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-241.png,미보유,0
LemxIaU42rXBt6jn3c6K,,오거폰 벽록의 가면 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-201,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_201.png,미보유,0
FBi5egvXCPgvmiJ9HVgr,,오거폰 벽록의 가면 ex,SAR,sv6 -「변환의 가면」,SV6-125,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_125.png,미보유,0
z2td1JSia8pNUoayZyNv,,오거폰 우물의 가면,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-208,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_208.png,미보유,0
DdhZt7JkKvHfM5RtXLcr,,오거폰 우물의 가면 ex,SAR,sv6 -「변환의 가면」,SV6-127,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_127.png,미보유,0
2aPIFnMTKR3Udre7kLx2,,오거폰 주춧돌의 가면 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-216,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_216.png,미보유,0
Sp7bxhUMJbmtZV0GupmM,,오거폰 주춧돌의 가면 ex,SAR,sv6 -「변환의 가면」,SV6-128,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_128.png,미보유,0
jU4EcvtgIcNjMtqG49vc,,오거폰 화덕의 가면 ex,SAR,sv8a -「테라스탈 페스타 ex」,SV8a-204,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_204.png,미보유,0
jJiQTlY9FvmxnvKidFXz,,오거폰 화덕의 가면 ex,SAR,sv6 -「변환의 가면」,SV6-126,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_126.png,미보유,0
tgrIeErxrUwTZMQr1Qrn,462,자포코일,AR,s12a -「VSTAR 유니버스」,S12a-193,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-193.png,보유중,0
TtDruE5NfTxNlCBqCfuR,,쥬피썬더 V,SR,s6a -「이브이 히어로즈」,S6a-078,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-078.png,보유중,0
lGFHJt9JZBpRtbqWjEPE,,쥬피썬더 V,SR,s6a -「이브이 히어로즈」,S6a-079,포켓몬,https://mtg-kr.com/cardimage/poketcgS6a-079.png,보유중,0
ZsMsj7ObwwuX6PZXDu89,741,춤추새,AR,s12a -「VSTAR 유니버스」,S12a-176,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-176.png,보유중,0
QvGxDNXRSp8i8eoGcAJG,647,케르디오,AR,s12a -「VSTAR 유니버스」,S12a-179,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-179.png,보유중,0
