raw_database_id,pokedexNumber,isLegacy,cardName,imageUrl,type,possessions,status,series,cardNumber,rarity,createdAt,price
,,true,뽀삐,https://mtg-kr.com/cardimage/poketcgSV3-130.png,,,보유중,sv3 - 「흑염의 지배자」,SV3-130,SR,,0
,,true,호브의 우르,https://mtg-kr.com/cardimage/poketcgSV9-112.png,,,보유중,sv9 -「배틀파트너즈」,SV9-112,AR,,0
,,true,이브이 ex,https://mtg-kr.com/cardimage/poketcgSV8a-223.png,,,보유중,sv8a -「테라스탈 페스타 ex」,SV8a-223,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_099.png,,,미보유,sv2P -「스노해저드」,SV2P-099,UR,,0
,,,라티오스,https://mtg-kr.com/cardimage/poketcgSV7a-070.png,포켓몬,,보유중,sv7a -「낙원드래고나」,SV7a-070,AR,,0
,,true,돈크로우 V,https://mtg-kr.com/cardimage/poketcgS9-109.png,,,보유중,s9 -「스타버스」,S9-109,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_089.png,,,미보유,sv5M -「사이버저지」,SV5M-089,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_105.png,,,보유중,sv10 -「로켓단의 영광」,SV10-105,AR,,0
,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6A/SM6A_056.png,포켓몬,,미보유,sm6a -「드래곤스톰」,SM6a-056,SR,,0
,,,기기어르,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_147.png,포켓몬,,보유중,sv11W -「화이트플레어」,SV11W-147,AR,,0
,,true,앗차키,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_106.png,,,보유중,sv11B -「블랙볼트」,SV11B-106,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_086.png,,,미보유,sv4M -「미래의 일섬」,SV4M-086,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_080.png,,,보유중,sv9a -「열풍의 아레나」,SV9a-080,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_127.png,,,보유중,sv11B -「블랙볼트」,SV11B-127,AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS8b-190.png,,,보유중,s8b -「VMAX 클라이맥스」,S8b-190,CHR,,0
,,,레시라무 ex,https://mtg-kr.com/cardimage/poketcgSV11W-174.png,포켓몬,,등급카드,sv11W -「화이트플레어」,SV11W-174,BWR,,0
,384,true,레쿠쟈 Vmax,https://mtg-kr.com/cardimage/poketcgS8b-252.png,포켓몬,,등급카드,s8b -「VMAX 클라이맥스」,S8b-252,CSR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_172.png,,,미보유,sm8b -「울트라샤이니」,SM8b-172,S,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_075.png,,,보유중,sv5a -「크림슨헤이즈」,SV5a-075,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_099.png,,,보유중,sv10 -「로켓단의 영광」,SV10-099,AR,,0
,,true,아크로마의 실험,https://mtg-kr.com/cardimage/poketcgS12a-238.png,서포트,,보유중,s12a -「VSTAR 유니버스」,S12a-238,SAR,,0
,,true,로켓단의 비주기,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_128.png,포켓몬,,보유중,sv10 -「로켓단의 영광」,SV10-128,SAR,,0
,,true,빛나,https://mtg-kr.com/cardimage/poketcgM2-107.png,,,보유중,m2 -「인페르노X」,M2-107,SR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS9-125.png,,,미보유,s9 -「스타버스」,S9-125,UR,,0
,,true,알로라 닥트리오,https://mtg-kr.com/cardimage/poketcgSV8-116.png,,,보유중,sv8 -「초전브레이커」,SV8-116,AR,,0
,,true,돌핀맨 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_207.png,,,미보유,sv8a -「테라스탈 페스타 ex」,SV8a-207,SAR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM2-099.png,,,미보유,m2 -「인페르노X」,M2-099,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_196.png,,,미보유,sm8b -「울트라샤이니」,SM8b-196,S,,0
,,true,흑마 버드렉스 V,https://mtg-kr.com/cardimage/poketcgS8b-235.png,,,미보유,s8b -「VMAX 클라이맥스」,S8b-235,CSR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS9a-093.png,,,미보유,s9a -「배틀리전」,S9a-093,UR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_197.png,,,미보유,sv8a -「테라스탈 페스타 ex」,SV8a-197,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_210.png,,,미보유,sm8b -「울트라샤이니」,SM8b-210,SSR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_220.png,,,미보유,sm8b -「울트라샤이니」,SM8b-220,SSR,,0
,,true,전툴라 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_128.png,포켓몬,,미보유,sv7 -「스텔라미라클」,SV7-128,SAR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM1L-078.png,,,미보유,m1L -「메가 브레이브」,M1L-078,SR,,0
,719,true,메가디안시 ex,https://mtg-kr.com/cardimage/poketcgM2a-227.png,포켓몬,,미보유,m2a -「메가드림」,M2a-227,MA,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS11a-087.png,,,미보유,s11a -「백열의 아르카나」,S11a-087,HR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM2-096.png,,,미보유,m2 -「인페르노X」,M2-096,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_112.png,,,보유중,sv6 -「변환의 가면」,SV6-112,AR,,0
,,true,암나이트,https://mtg-kr.com/cardimage/poketcgSV2a-180.png,,,보유중,sv2a -「포켓몬 카드 151」,SV2a-180,AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS8b-206.png,,,보유중,s8b -「VMAX 클라이맥스」,S8b-206,CHR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS9a-080.png,,,미보유,s9a -「배틀리전」,S9a-080,SR,,0
,,true,마이농,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_066.png,,,보유중,sv3a -「레이징서프」,SV3a-066,AR,,0
,,true,월로,https://mtg-kr.com/cardimage/poketcgS12a-248.png,서포트,,미보유,s12a -「VSTAR 유니버스」,S12a-248,SR,,0
,145,,가라르 썬더,https://mtg-kr.com/cardimage/poketcgS12a-188.png,포켓몬,,보유중,s12a -「VSTAR 유니버스」,S12a-188,AR,,0
,,true,레어코일,https://mtg-kr.com/cardimage/poketcgSV8-112.png,포켓몬,,보유중,sv8 -「초전브레이커」,SV8-112,AR,,0
,,,오거폰 주춧돌의 가면 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_216.png,포켓몬,,미보유,sv8a -「테라스탈 페스타 ex」,SV8a-216,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_176.png,,,미보유,sm8b -「울트라샤이니」,SM8b-176,S,,0
,,true,님피아 GX,https://mtg-kr.com/cardimage/poketcgSM8b-238.png,,,등급카드,sm8b -「울트라샤이니」,SM8b-238,SSR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_124.png,,,보유중,sv3 - 「흑염의 지배자」,SV3-124,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_360.png,,,미보유,sv4a -「샤이니트레저 ex」,SV4a-360,UR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6B/SM6B_063.png,서포트,,미보유,sm6b -「챔피언로드」,SM6b-063,SR,,0
,,true,켈리몬,https://mtg-kr.com/cardimage/poketcgSV8-118.png,,,보유중,sv8 -「초전브레이커」,SV8-118,AR,,0
,,true,난천의 패기,https://mtg-kr.com/cardimage/poketcgS9-113.png,서포트,,미보유,s9 -「스타버스」,S9-113,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_113.png,,,보유중,sv11W -「화이트플레어」,SV11W-113,AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS8b-209.png,,,보유중,s8b -「VMAX 클라이맥스」,S8b-209,CHR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgMC-746.png,,,미보유,MC - MEGA「스타트 덱 100 배틀컬렉션」,MC-746,기타 AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_084.png,,,미보유,sv6a -「나이트원더러」,SV6a-084,SR,,0
,,true,제크로무 ex,https://mtg-kr.com/cardimage/poketcgSV11B-174.png,포켓몬,,등급카드,sv11B -「블랙볼트」,SV11B-174,BWR,,0
,,true,N의 방안,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_165.png,,,보유중,sv11B -「블랙볼트」,SV11B-165,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_149.png,,,보유중,sv11W -「화이트플레어」,SV11W-149,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_145.png,,,보유중,sv11W -「화이트플레어」,SV11W-145,AR,,0
,,true,비파,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_191.png,,,미보유,sv8a -「테라스탈 페스타 ex」,SV8a-191,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_079.png,,,미보유,sv4K -「고대의 포효」,SV4K-079,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1A/SV1A_086.png,,,미보유,sv1a -「트리플렛비트」,SV1a-086,SR,,0
,490,,마나피,https://mtg-kr.com/cardimage/poketcgS12a-178.png,포켓몬,,보유중,s12a -「VSTAR 유니버스」,S12a-178,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_113.png,,,보유중,sv11B -「블랙볼트」,SV11B-113,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_076.png,,,보유중,sv5a -「크림슨헤이즈」,SV5a-076,AR,,0
,,,N의 조로아크 ex,https://mtg-kr.com/cardimage/poketcgM2a-242.png,포켓몬,,미보유,m2a -「메가드림」,M2a-242,SAR,,0
,,,라티아스 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7A/SV7A_087.png,포켓몬,,보유중,sv7a -「낙원드래고나」,SV7a-087,SAR,,0
,,true,타부자고 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_087.png,,,미보유,sv3a -「레이징서프」,SV3a-087,SAR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgSV1V-081.png,,,보유중,sv1V -「바이올렛 ex」,SV1V-081,AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM2a-203.png,,,보유중,m2a -「메가드림」,M2a-203,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_146.png,,,보유중,sv11W -「화이트플레어」,SV11W-146,AR,,0
,,true,리오르,https://mtg-kr.com/cardimage/poketcgS12a-201.png,포켓몬,,보유중,s12a -「VSTAR 유니버스」,S12a-201,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_081.png,,,미보유,sv9a -「열풍의 아레나」,SV9a-081,SR,,0
,100,,히스이 찌리리공,%ED%9E%88%EC%8A%A4%EC%9D%B4_%EC%B0%8C%EB%A6%AC%EB%A6%AC%EA%B3%B5_S12a_173_KOR.png,포켓몬,,보유중,s12a -「VSTAR 유니버스」,S12a-173,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_146.png,,,보유중,sv11B -「블랙볼트」,SV11B-146,AR,,0
,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6B/SM6B_056.png,포켓몬,,미보유,sm6b -「챔피언로드」,SM6b-056,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_098.png,,,미보유,sv2P -「스노해저드」,SV2P-098,UR,,0
,,true,슈륙챙이,https://mtg-kr.com/cardimage/poketcgSV2a-176.png,,,보유중,sv2a -「포켓몬 카드 151」,SV2a-176,AR,,0
,,,램프라,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_101.png,포켓몬,,보유중,sv11B -「블랙볼트」,SV11B-101,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_111.png,,,보유중,sv11W -「화이트플레어」,SV11W-111,AR,,0
,,true,벨의 진심,https://mtg-kr.com/cardimage/poketcgSV5M-090.png,,,보유중,sv5M -「사이버저지」,SV5M-090,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_077.png,,,보유중,sv5K -「와일드포스」,SV5K-077,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_131.png,,,미보유,sv10 -「로켓단의 영광」,SV10-131,UR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_087.png,,,미보유,sv4K -「고대의 포효」,SV4K-087,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_091.png,,,보유중,sv11W -「화이트플레어」,SV11W-091,AR,,0
,,true,샤로다 V,https://mtg-kr.com/cardimage/poketcgS11a-084.png,,,미보유,s11a -「백열의 아르카나」,S11a-084,CSR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_122.png,,,미보유,sv6 -「변환의 가면」,SV6-122,SR,,0
,0384,true,레쿠쟈 GX,https://mtg-kr.com/cardimage/poketcgSM8b-209.png,포켓몬,,미보유,sm8b -「울트라샤이니」,SM8b-240,SSR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM1L-070.png,,,보유중,m1L -「메가 브레이브」,M1L-070,AR,,0
,144,,가라르 프리져,https://mtg-kr.com/cardimage/poketcgS12a-182.png,포켓몬,,보유중,s12a -「VSTAR 유니버스」,S12a-182,AR,,0
,282,,가디안 ex,https://mtg-kr.com/cardimage/poketcgSV4a-348.png,포켓몬,,미보유,sv4a -「샤이니트레저 ex」,SV4a-348,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_130.png,,,미보유,sv10 -「로켓단의 영광」,SV10-130,UR,,0
,,true,마임맨,https://mtg-kr.com/cardimage/poketcgSV2a-179.png,,,보유중,sv2a -「포켓몬 카드 151」,SV2a-179,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_086.png,,,미보유,sv6a -「나이트원더러」,SV6a-086,SR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS8b-261.png,서포트,,미보유,s8b -「VMAX 클라이맥스」,S8b-261,SR,,0
,,true,입치트 V,https://mtg-kr.com/cardimage/poketcgS11a-085.png,포켓몬,,보유중,s11a -「백열의 아르카나」,S11a-085,CSR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM1L-069.png,,,보유중,m1L -「메가 브레이브」,M1L-069,AR,,0
,,true,아이앤트 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8/SV8_130.png,,,미보유,sv8 -「초전브레이커」,SV8-130,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_115.png,,,보유중,sv11B -「블랙볼트」,SV11B-115,AR,,0
,,true,팔데아 우파,https://mtg-kr.com/cardimage/poketcgSV1a-085.png,,,보유중,sv1a -「트리플렛비트」,SV1a-085,AR,,0
,,true,아리아도스,https://mtg-kr.com/cardimage/poketcgS8b-205.png,,,보유중,s8b -「VMAX 클라이맥스」,S8b-205,CHR,,0
,,true,아르세우스 Vstar,https://mtg-kr.com/cardimage/poketcgS12a-262.png,,,보유중,s12a -「VSTAR 유니버스」,S12a-262,UR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS10P-068.png,,,미보유,s10P -「스페이스 저글러」,S10P-068,SR,,0
,,true,독침붕 V,https://mtg-kr.com/cardimage/poketcgS10P-069.png,,,미보유,s10P -「스페이스 저글러」,S10P-069,SR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM2-105.png,,,미보유,m2 -「인페르노X」,M2-105,SR,,0
,,true,리자몽 V,https://mtg-kr.com/cardimage/poketcgS9-103.png,포켓몬,,보유중,s9 -「스타버스」,S9-103,SR,,0
,,true,샹델라,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_102.png,,,보유중,sv11B -「블랙볼트」,SV11B-102,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1A/SV1A_103.png,,,미보유,sv1a -「트리플렛비트」,SV1a-103,UR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_237.png,,,미보유,sv8a -「테라스탈 페스타 ex」,SV8a-237,UR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_081.png,,,미보유,sv5a -「크림슨헤이즈」,SV5a-081,SR,,0
,,true,앤테이 V,https://mtg-kr.com/cardimage/poketcgS12a-213.png,,,보유중,s12a -「VSTAR 유니버스」,S12a-213,SAR,,0
,8,true,어니부기,https://mtg-kr.com/cardimage/poketcgSV2a-171.png,,,보유중,sv2a -「포켓몬 카드 151」,SV2a-171,AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS8b-204.png,,,보유중,s8b -「VMAX 클라이맥스」,S8b-204,CHR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_106.png,,,보유중,sv7 -「스텔라미라클」,SV7-106,AR,,0
,,true,유나가바 부스터,,,,등급카드,PROMO,,PROMO,,0
,491,true,다크라이 Vstar,https://mtg-kr.com/cardimage/poketcgS12a-228.png,,,보유중,s12a -「VSTAR 유니버스」,S12a-228,SAR,,0
,,true,세류,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_092.png,,,미보유,sv5a -「크림슨헤이즈」,SV5a-092,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_072.png,,,보유중,sv5K -「와일드포스」,SV5K-072,AR,,0
,,true,빈티나,https://mtg-kr.com/cardimage/poketcgSV8-110.png,,,보유중,sv8 -「초전브레이커」,SV8-110,AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM2a-232.png,,,미보유,m2a -「메가드림」,M2a-232,MA,,0
,,true,메가곤율거니 ex,https://mtg-kr.com/cardimage/poketcgM2a-241.png,포켓몬,,보유중,m2a -「메가드림」,M2a-241,SAR,,0
,,true,메가이상해꽃,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_087.png,포켓몬,,보유중,m1L -「메가 브레이브」,M1L-087,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_076.png,,,보유중,sv6a -「나이트원더러」,SV6a-076,AR,,0
,719,true,메가디안시 ex,https://mtg-kr.com/cardimage/poketcgM2a-238.png,포켓몬,,보유중,m2a -「메가드림」,M2a-238,SAR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS10a-081.png,,,미보유,s10a -「다크판타스마」,S10a-081,,,0
,703,true,멜리시,https://mtg-kr.com/cardimage/poketcgMC-752.png,,,미보유,MC - MEGA「스타트 덱 100 배틀컬렉션」,MC-752,기타 AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS11-102.png,,,미보유,s11 -「로스트어비스」,S11-102,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_141.png,,,보유중,sv11B -「블랙볼트」,SV11B-141,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_140.png,,,보유중,sv11B -「블랙볼트」,SV11B-140,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11A/SM11A_072.png,,,미보유,sm11a -「리믹스바우트」,SM11a-072,SR,,0
,,true,노고고치,https://mtg-kr.com/cardimage/poketcgSV2P-083.png,,,보유중,sv2P -「스노해저드」,SV2P-083,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_334.png,,,미보유,sv4a -「샤이니트레저 ex」,SV4a-334,SSR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM1S-086.png,,,미보유,m1S -「메가 심포니아」,M1S-086,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_086.png,,,미보유,sv4K -「고대의 포효」,SV4K-086,SR,,0
,,true,활화르바,https://mtg-kr.com/cardimage/poketcgSV8-108.png,,,보유중,sv8 -「초전브레이커」,SV8-108,AR,,0
,,true,잠만보,https://mtg-kr.com/cardimage/poketcgSV2a-181.png,포켓몬,,보유중,sv2a -「포켓몬 카드 151」,SV2a-181,AR,,0
,,true,실버디 GX,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_065.png,,,미보유,sm11b -「드림리그」,SM11b-065,SR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM2a-218.png,,,미보유,m2a -「메가드림」,M2a-218,SR,,0
,,true,네오라이트 V,https://mtg-kr.com/cardimage/poketcgS12a-216.png,,,보유중,s12a -「VSTAR 유니버스」,S12a-216,SAR,,0
,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_320.png,포켓몬,,미보유,sv4a -「샤이니트레저 ex」,SV4a-320,SSR,,0
,494,,비크티니,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV-P/SV-P_202.png?w=512,포켓몬,,등급카드,PROMO,,PROMO,,0
,,true,브라이어,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_131.png,,,미보유,sv7 -「스텔라미라클」,SV7-131,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2D/SV2D_072.png,,,보유중,sv2D -「클레이버스트」,SV2D-072,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_084.png,,,미보유,sv5M -「사이버저지」,SV5M-084,SR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_132.png,,,미보유,sv3 - 「흑염의 지배자」,SV3-132,SR,,0
,,true,제크로무 ex,https://mtg-kr.com/cardimage/poketcgSV11B-169.png,포켓몬,,등급카드,sv11B -「블랙볼트」,SV11B-169,SAR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9/SV9_119.png,,,미보유,sv9 -「배틀파트너즈」,SV9-119,SR,,0
,,true,마기라스,https://mtg-kr.com/cardimage/poketcgSV2D-079.png,,,보유중,sv2D -「클레이버스트」,SV2D-079,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_079.png,,,미보유,sv9a -「열풍의 아레나」,SV9a-079,SR,,0
,,,또가스,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_056.png,포켓몬,,미보유,sm11b -「드림리그」,SM11b-056,CHR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_069.png,,,보유중,sv4K -「고대의 포효」,SV4K-069,AR,,0
,,true,몰드류 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,,,미보유,sv11B -「블랙볼트」,SV11B-171,SAR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS9-120.png,,,미보유,s9 -「스타버스」,S9-120,HR,,0
,849,,스트린더,https://mtg-kr.com/cardimage/poketcgS12a-181.png,포켓몬,,보유중,s12a -「VSTAR 유니버스」,S12a-181,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_072.png,,,보유중,sv5M -「사이버저지」,SV5M-072,AR,,0
,3,true,메가이상해꽃 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_087.png,포켓몬,[object Object],보유중,m1L -「메가 브레이브」,M1L-087,SAR,,0
,,true,규리의 눈빛,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8/SV8_134.png,서포트,,미보유,sv8 -「초전브레이커」,SV8-134,SAR,,0
,6,,리자몽 ex,https://mtg-kr.com/cardimage/poketcgSV4a-349.png,포켓몬,,미보유,sv4a -「샤이니트레저 ex」,SV4a-349,SAR,,0
,,true,그루샤,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_095.png,서포트,,미보유,sv2P -「스노해저드」,SV2P-095,SAR,,0
