raw_database_id,series,cardNumber,isLegacy,imageUrl,rarity,cardName,type,pokedexNumber,price,status,possessions,createdAt
,sv2P -「스노해저드」,SV2P-099,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_099.png,UR,,,,0,미보유,,
,sv7a -「낙원드래고나」,SV7a-070,,https://mtg-kr.com/cardimage/poketcgSV7a-070.png,AR,라티오스,포켓몬,,0,보유중,,
,s9 -「스타버스」,S9-109,true,https://mtg-kr.com/cardimage/poketcgS9-109.png,SR,돈크로우 V,,,0,보유중,,
,sv5M -「사이버저지」,SV5M-089,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_089.png,SR,,,,0,미보유,,
,sv10 -「로켓단의 영광」,SV10-105,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_105.png,AR,,,,0,보유중,,
,sm6a -「드래곤스톰」,SM6a-056,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6A/SM6A_056.png,SR,,포켓몬,,0,미보유,,
,sv11W -「화이트플레어」,SV11W-147,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_147.png,AR,기기어르,포켓몬,,0,보유중,,
,sv11B -「블랙볼트」,SV11B-106,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_106.png,AR,앗차키,,,0,보유중,,
,sv4M -「미래의 일섬」,SV4M-086,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_086.png,SR,,,,0,미보유,,
,sv9a -「열풍의 아레나」,SV9a-080,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_080.png,SR,,,,0,보유중,,
,sv11B -「블랙볼트」,SV11B-127,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_127.png,AR,,,,0,보유중,,
,s8b -「VMAX 클라이맥스」,S8b-190,true,https://mtg-kr.com/cardimage/poketcgS8b-190.png,CHR,,,,0,보유중,,
,sv11W -「화이트플레어」,SV11W-174,,https://mtg-kr.com/cardimage/poketcgSV11W-174.png,BWR,레시라무 ex,포켓몬,,0,등급카드,,
,s8b -「VMAX 클라이맥스」,S8b-252,true,https://mtg-kr.com/cardimage/poketcgS8b-252.png,CSR,레쿠쟈 Vmax,포켓몬,384,0,등급카드,,
,sm8b -「울트라샤이니」,SM8b-172,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_172.png,S,,,,0,미보유,,
,sv5a -「크림슨헤이즈」,SV5a-075,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_075.png,AR,,,,0,보유중,,
,sv10 -「로켓단의 영광」,SV10-099,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_099.png,AR,,,,0,보유중,,
,s12a -「VSTAR 유니버스」,S12a-238,true,https://mtg-kr.com/cardimage/poketcgS12a-238.png,SAR,아크로마의 실험,서포트,,0,보유중,,
,sv10 -「로켓단의 영광」,SV10-128,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_128.png,SAR,로켓단의 비주기,포켓몬,,0,보유중,,
,m2 -「인페르노X」,M2-107,true,https://mtg-kr.com/cardimage/poketcgM2-107.png,SR,빛나,,,0,보유중,,
,s9 -「스타버스」,S9-125,true,https://mtg-kr.com/cardimage/poketcgS9-125.png,UR,,,,0,미보유,,
,sv8 -「초전브레이커」,SV8-116,true,https://mtg-kr.com/cardimage/poketcgSV8-116.png,AR,알로라 닥트리오,,,0,보유중,,
,sv8a -「테라스탈 페스타 ex」,SV8a-207,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_207.png,SAR,돌핀맨 ex,,,0,미보유,,
,m2 -「인페르노X」,M2-099,true,https://mtg-kr.com/cardimage/poketcgM2-099.png,SR,,,,0,미보유,,
,sm8b -「울트라샤이니」,SM8b-196,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_196.png,S,,,,0,미보유,,
,s8b -「VMAX 클라이맥스」,S8b-235,true,https://mtg-kr.com/cardimage/poketcgS8b-235.png,CSR,흑마 버드렉스 V,,,0,미보유,,
,s9a -「배틀리전」,S9a-093,true,https://mtg-kr.com/cardimage/poketcgS9a-093.png,UR,,,,0,미보유,,
,sv8a -「테라스탈 페스타 ex」,SV8a-197,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_197.png,SR,,,,0,미보유,,
,sm8b -「울트라샤이니」,SM8b-210,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_210.png,SSR,,,,0,미보유,,
,sm8b -「울트라샤이니」,SM8b-220,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_220.png,SSR,,,,0,미보유,,
,sv7 -「스텔라미라클」,SV7-128,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_128.png,SAR,전툴라 ex,포켓몬,,0,미보유,,
,m1L -「메가 브레이브」,M1L-078,true,https://mtg-kr.com/cardimage/poketcgM1L-078.png,SR,,,,0,미보유,,
,m2a -「메가드림」,M2a-227,true,https://mtg-kr.com/cardimage/poketcgM2a-227.png,MA,메가디안시 ex,포켓몬,719,0,미보유,,
,s11a -「백열의 아르카나」,S11a-087,true,https://mtg-kr.com/cardimage/poketcgS11a-087.png,HR,,,,0,미보유,,
,m2 -「인페르노X」,M2-096,true,https://mtg-kr.com/cardimage/poketcgM2-096.png,SR,,,,0,미보유,,
,sv6 -「변환의 가면」,SV6-112,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_112.png,AR,,,,0,보유중,,
,sv2a -「포켓몬 카드 151」,SV2a-180,true,https://mtg-kr.com/cardimage/poketcgSV2a-180.png,AR,암나이트,,,0,보유중,,
,s8b -「VMAX 클라이맥스」,S8b-206,true,https://mtg-kr.com/cardimage/poketcgS8b-206.png,CHR,,,,0,보유중,,
,s9a -「배틀리전」,S9a-080,true,https://mtg-kr.com/cardimage/poketcgS9a-080.png,SR,,,,0,미보유,,
,sv3a -「레이징서프」,SV3a-066,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_066.png,AR,마이농,,,0,보유중,,
,s12a -「VSTAR 유니버스」,S12a-248,true,https://mtg-kr.com/cardimage/poketcgS12a-248.png,SR,월로,서포트,,0,미보유,,
,s12a -「VSTAR 유니버스」,S12a-188,,https://mtg-kr.com/cardimage/poketcgS12a-188.png,AR,가라르 썬더,포켓몬,145,0,보유중,,
,sv8 -「초전브레이커」,SV8-112,true,https://mtg-kr.com/cardimage/poketcgSV8-112.png,AR,레어코일,포켓몬,,0,보유중,,
,sv8a -「테라스탈 페스타 ex」,SV8a-216,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_216.png,SAR,오거폰 주춧돌의 가면 ex,포켓몬,,0,미보유,,
,sm8b -「울트라샤이니」,SM8b-176,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_176.png,S,,,,0,미보유,,
,sm8b -「울트라샤이니」,SM8b-238,true,https://mtg-kr.com/cardimage/poketcgSM8b-238.png,SSR,님피아 GX,,,0,등급카드,,
,sv3 - 「흑염의 지배자」,SV3-124,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_124.png,SR,,,,0,보유중,,
,sv4a -「샤이니트레저 ex」,SV4a-360,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_360.png,UR,,,,0,미보유,,
,sm6b -「챔피언로드」,SM6b-063,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6B/SM6B_063.png,SR,,서포트,,0,미보유,,
,sv8 -「초전브레이커」,SV8-118,true,https://mtg-kr.com/cardimage/poketcgSV8-118.png,AR,켈리몬,,,0,보유중,,
,s9 -「스타버스」,S9-113,true,https://mtg-kr.com/cardimage/poketcgS9-113.png,SR,난천의 패기,서포트,,0,미보유,,
,sv11W -「화이트플레어」,SV11W-113,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_113.png,AR,,,,0,보유중,,
,s8b -「VMAX 클라이맥스」,S8b-209,true,https://mtg-kr.com/cardimage/poketcgS8b-209.png,CHR,,,,0,보유중,,
,MC - MEGA「스타트 덱 100 배틀컬렉션」,MC-746,true,https://mtg-kr.com/cardimage/poketcgMC-746.png,기타 AR,,,,0,미보유,,
,sv6a -「나이트원더러」,SV6a-084,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_084.png,SR,,,,0,미보유,,
,sv11B -「블랙볼트」,SV11B-174,true,https://mtg-kr.com/cardimage/poketcgSV11B-174.png,BWR,제크로무 ex,포켓몬,,0,등급카드,,
,sv11B -「블랙볼트」,SV11B-165,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_165.png,SR,N의 방안,,,0,보유중,,
,sv11W -「화이트플레어」,SV11W-149,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_149.png,AR,,,,0,보유중,,
,sv11W -「화이트플레어」,SV11W-145,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_145.png,AR,,,,0,보유중,,
,sv8a -「테라스탈 페스타 ex」,SV8a-191,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_191.png,SR,비파,,,0,미보유,,
,sv4K -「고대의 포효」,SV4K-079,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_079.png,SR,,,,0,미보유,,
,sv1a -「트리플렛비트」,SV1a-086,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1A/SV1A_086.png,SR,,,,0,미보유,,
,s12a -「VSTAR 유니버스」,S12a-178,,https://mtg-kr.com/cardimage/poketcgS12a-178.png,AR,마나피,포켓몬,490,0,보유중,,
,sv11B -「블랙볼트」,SV11B-113,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_113.png,AR,,,,0,보유중,,
,sv5a -「크림슨헤이즈」,SV5a-076,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_076.png,AR,,,,0,보유중,,
,m2a -「메가드림」,M2a-242,,https://mtg-kr.com/cardimage/poketcgM2a-242.png,SAR,N의 조로아크 ex,포켓몬,,0,미보유,,
,sv7a -「낙원드래고나」,SV7a-087,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7A/SV7A_087.png,SAR,라티아스 ex,포켓몬,,0,보유중,,
,sv3a -「레이징서프」,SV3a-087,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_087.png,SAR,타부자고 ex,,,0,미보유,,
,sv1V -「바이올렛 ex」,SV1V-081,true,https://mtg-kr.com/cardimage/poketcgSV1V-081.png,AR,,,,0,보유중,,
,m2a -「메가드림」,M2a-203,true,https://mtg-kr.com/cardimage/poketcgM2a-203.png,AR,,,,0,보유중,,
,sv11W -「화이트플레어」,SV11W-146,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_146.png,AR,,,,0,보유중,,
,s12a -「VSTAR 유니버스」,S12a-201,true,https://mtg-kr.com/cardimage/poketcgS12a-201.png,AR,리오르,포켓몬,,0,보유중,,
,sv9a -「열풍의 아레나」,SV9a-081,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_081.png,SR,,,,0,미보유,,
,s12a -「VSTAR 유니버스」,S12a-173,,%ED%9E%88%EC%8A%A4%EC%9D%B4_%EC%B0%8C%EB%A6%AC%EB%A6%AC%EA%B3%B5_S12a_173_KOR.png,AR,히스이 찌리리공,포켓몬,100,0,보유중,,
,sv11B -「블랙볼트」,SV11B-146,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_146.png,AR,,,,0,보유중,,
,sm6b -「챔피언로드」,SM6b-056,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6B/SM6B_056.png,SR,,포켓몬,,0,미보유,,
,sv2P -「스노해저드」,SV2P-098,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_098.png,UR,,,,0,미보유,,
,sv2a -「포켓몬 카드 151」,SV2a-176,true,https://mtg-kr.com/cardimage/poketcgSV2a-176.png,AR,슈륙챙이,,,0,보유중,,
,sv11B -「블랙볼트」,SV11B-101,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_101.png,AR,램프라,포켓몬,,0,보유중,,
,sv11W -「화이트플레어」,SV11W-111,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_111.png,AR,,,,0,보유중,,
,sv5M -「사이버저지」,SV5M-090,true,https://mtg-kr.com/cardimage/poketcgSV5M-090.png,SR,벨의 진심,,,0,보유중,,
,sv5K -「와일드포스」,SV5K-077,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_077.png,AR,,,,0,보유중,,
,sv10 -「로켓단의 영광」,SV10-131,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_131.png,UR,,,,0,미보유,,
,sv4K -「고대의 포효」,SV4K-087,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_087.png,SR,,,,0,미보유,,
,sv11W -「화이트플레어」,SV11W-091,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_091.png,AR,,,,0,보유중,,
,s11a -「백열의 아르카나」,S11a-084,true,https://mtg-kr.com/cardimage/poketcgS11a-084.png,CSR,샤로다 V,,,0,미보유,,
,sv6 -「변환의 가면」,SV6-122,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_122.png,SR,,,,0,미보유,,
,sm8b -「울트라샤이니」,SM8b-240,true,https://mtg-kr.com/cardimage/poketcgSM8b-209.png,SSR,레쿠쟈 GX,포켓몬,0384,0,미보유,,
,m1L -「메가 브레이브」,M1L-070,true,https://mtg-kr.com/cardimage/poketcgM1L-070.png,AR,,,,0,보유중,,
,s12a -「VSTAR 유니버스」,S12a-182,,https://mtg-kr.com/cardimage/poketcgS12a-182.png,AR,가라르 프리져,포켓몬,144,0,보유중,,
,sv4a -「샤이니트레저 ex」,SV4a-348,,https://mtg-kr.com/cardimage/poketcgSV4a-348.png,SAR,가디안 ex,포켓몬,282,0,미보유,,
,sv10 -「로켓단의 영광」,SV10-130,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_130.png,UR,,,,0,미보유,,
,sv2a -「포켓몬 카드 151」,SV2a-179,true,https://mtg-kr.com/cardimage/poketcgSV2a-179.png,AR,마임맨,,,0,보유중,,
,sv6a -「나이트원더러」,SV6a-086,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_086.png,SR,,,,0,미보유,,
,s8b -「VMAX 클라이맥스」,S8b-261,true,https://mtg-kr.com/cardimage/poketcgS8b-261.png,SR,,서포트,,0,미보유,,
,s11a -「백열의 아르카나」,S11a-085,true,https://mtg-kr.com/cardimage/poketcgS11a-085.png,CSR,입치트 V,포켓몬,,0,보유중,,
,m1L -「메가 브레이브」,M1L-069,true,https://mtg-kr.com/cardimage/poketcgM1L-069.png,AR,,,,0,보유중,,
,sv8 -「초전브레이커」,SV8-130,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8/SV8_130.png,SAR,아이앤트 ex,,,0,미보유,,
,sv11B -「블랙볼트」,SV11B-115,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_115.png,AR,,,,0,보유중,,
,sv1a -「트리플렛비트」,SV1a-085,true,https://mtg-kr.com/cardimage/poketcgSV1a-085.png,AR,팔데아 우파,,,0,보유중,,
,s8b -「VMAX 클라이맥스」,S8b-205,true,https://mtg-kr.com/cardimage/poketcgS8b-205.png,CHR,아리아도스,,,0,보유중,,
,s12a -「VSTAR 유니버스」,S12a-262,true,https://mtg-kr.com/cardimage/poketcgS12a-262.png,UR,아르세우스 Vstar,,,0,보유중,,
,s10P -「스페이스 저글러」,S10P-068,true,https://mtg-kr.com/cardimage/poketcgS10P-068.png,SR,,,,0,미보유,,
,s10P -「스페이스 저글러」,S10P-069,true,https://mtg-kr.com/cardimage/poketcgS10P-069.png,SR,독침붕 V,,,0,미보유,,
,m2 -「인페르노X」,M2-105,true,https://mtg-kr.com/cardimage/poketcgM2-105.png,SR,,,,0,미보유,,
,s9 -「스타버스」,S9-103,true,https://mtg-kr.com/cardimage/poketcgS9-103.png,SR,리자몽 V,포켓몬,,0,보유중,,
,sv11B -「블랙볼트」,SV11B-102,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_102.png,AR,샹델라,,,0,보유중,,
,sv1a -「트리플렛비트」,SV1a-103,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1A/SV1A_103.png,UR,,,,0,미보유,,
,sv8a -「테라스탈 페스타 ex」,SV8a-237,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8A/SV8A_237.png,UR,,,,0,미보유,,
,sv5a -「크림슨헤이즈」,SV5a-081,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_081.png,SR,,,,0,미보유,,
,s12a -「VSTAR 유니버스」,S12a-213,true,https://mtg-kr.com/cardimage/poketcgS12a-213.png,SAR,앤테이 V,,,0,보유중,,
,sv2a -「포켓몬 카드 151」,SV2a-171,true,https://mtg-kr.com/cardimage/poketcgSV2a-171.png,AR,어니부기,,8,0,보유중,,
,s8b -「VMAX 클라이맥스」,S8b-204,true,https://mtg-kr.com/cardimage/poketcgS8b-204.png,CHR,,,,0,보유중,,
,sv7 -「스텔라미라클」,SV7-106,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_106.png,AR,,,,0,보유중,,
,PROMO,,true,,PROMO,유나가바 부스터,,,0,등급카드,,
,s12a -「VSTAR 유니버스」,S12a-228,true,https://mtg-kr.com/cardimage/poketcgS12a-228.png,SAR,다크라이 Vstar,,491,0,보유중,,
,sv5a -「크림슨헤이즈」,SV5a-092,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_092.png,SAR,세류,,,0,미보유,,
,sv5K -「와일드포스」,SV5K-072,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_072.png,AR,,,,0,보유중,,
,sv8 -「초전브레이커」,SV8-110,true,https://mtg-kr.com/cardimage/poketcgSV8-110.png,AR,빈티나,,,0,보유중,,
,m2a -「메가드림」,M2a-232,true,https://mtg-kr.com/cardimage/poketcgM2a-232.png,MA,,,,0,미보유,,
,m2a -「메가드림」,M2a-241,true,https://mtg-kr.com/cardimage/poketcgM2a-241.png,SAR,메가곤율거니 ex,포켓몬,,0,보유중,,
,m1L -「메가 브레이브」,M1L-087,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_087.png,SAR,메가이상해꽃,포켓몬,,0,보유중,,
,sv6a -「나이트원더러」,SV6a-076,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_076.png,AR,,,,0,보유중,,
,m2a -「메가드림」,M2a-238,true,https://mtg-kr.com/cardimage/poketcgM2a-238.png,SAR,메가디안시 ex,포켓몬,719,0,보유중,,
,s10a -「다크판타스마」,S10a-081,true,https://mtg-kr.com/cardimage/poketcgS10a-081.png,,,,,0,미보유,,
,MC - MEGA「스타트 덱 100 배틀컬렉션」,MC-752,true,https://mtg-kr.com/cardimage/poketcgMC-752.png,기타 AR,멜리시,,703,0,미보유,,
,s11 -「로스트어비스」,S11-102,true,https://mtg-kr.com/cardimage/poketcgS11-102.png,SR,,,,0,미보유,,
,sv11B -「블랙볼트」,SV11B-141,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_141.png,AR,,,,0,보유중,,
,sv11B -「블랙볼트」,SV11B-140,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_140.png,AR,,,,0,보유중,,
,sm11a -「리믹스바우트」,SM11a-072,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11A/SM11A_072.png,SR,,,,0,미보유,,
,sv2P -「스노해저드」,SV2P-083,true,https://mtg-kr.com/cardimage/poketcgSV2P-083.png,AR,노고고치,,,0,보유중,,
,sv4a -「샤이니트레저 ex」,SV4a-334,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_334.png,SSR,,,,0,미보유,,
,m1S -「메가 심포니아」,M1S-086,true,https://mtg-kr.com/cardimage/poketcgM1S-086.png,SR,,,,0,미보유,,
,sv4K -「고대의 포효」,SV4K-086,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_086.png,SR,,,,0,미보유,,
,sv8 -「초전브레이커」,SV8-108,true,https://mtg-kr.com/cardimage/poketcgSV8-108.png,AR,활화르바,,,0,보유중,,
,sv2a -「포켓몬 카드 151」,SV2a-181,true,https://mtg-kr.com/cardimage/poketcgSV2a-181.png,AR,잠만보,포켓몬,,0,보유중,,
,sm11b -「드림리그」,SM11b-065,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_065.png,SR,실버디 GX,,,0,미보유,,
,m2a -「메가드림」,M2a-218,true,https://mtg-kr.com/cardimage/poketcgM2a-218.png,SR,,,,0,미보유,,
,s12a -「VSTAR 유니버스」,S12a-216,true,https://mtg-kr.com/cardimage/poketcgS12a-216.png,SAR,네오라이트 V,,,0,보유중,,
,sv4a -「샤이니트레저 ex」,SV4a-320,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4A/SV4A_320.png,SSR,,포켓몬,,0,미보유,,
,PROMO,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV-P/SV-P_202.png?w=512,PROMO,비크티니,포켓몬,494,0,등급카드,,
,sv7 -「스텔라미라클」,SV7-131,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV7/SV7_131.png,SAR,브라이어,,,0,미보유,,
,sv2D -「클레이버스트」,SV2D-072,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2D/SV2D_072.png,AR,,,,0,보유중,,
,sv5M -「사이버저지」,SV5M-084,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_084.png,SR,,,,0,미보유,,
,sv3 - 「흑염의 지배자」,SV3-132,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3/SV3_132.png,SR,,,,0,미보유,,
,sv11B -「블랙볼트」,SV11B-169,true,https://mtg-kr.com/cardimage/poketcgSV11B-169.png,SAR,제크로무 ex,포켓몬,,0,등급카드,,
,sv9 -「배틀파트너즈」,SV9-119,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9/SV9_119.png,SR,,,,0,미보유,,
,sv2D -「클레이버스트」,SV2D-079,true,https://mtg-kr.com/cardimage/poketcgSV2D-079.png,AR,마기라스,,,0,보유중,,
,sv9a -「열풍의 아레나」,SV9a-079,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_079.png,SR,,,,0,미보유,,
,sm11b -「드림리그」,SM11b-056,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_056.png,CHR,또가스,포켓몬,,0,미보유,,
,sv4K -「고대의 포효」,SV4K-069,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4K/SV4K_069.png,AR,,,,0,보유중,,
,sv11B -「블랙볼트」,SV11B-171,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,SAR,몰드류 ex,,,0,미보유,,
,s9 -「스타버스」,S9-120,true,https://mtg-kr.com/cardimage/poketcgS9-120.png,HR,,,,0,미보유,,
,s12a -「VSTAR 유니버스」,S12a-181,,https://mtg-kr.com/cardimage/poketcgS12a-181.png,AR,스트린더,포켓몬,849,0,보유중,,
,sv5M -「사이버저지」,SV5M-072,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_072.png,AR,,,,0,보유중,,
,m1L -「메가 브레이브」,M1L-087,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_087.png,SAR,메가이상해꽃 ex,포켓몬,3,0,보유중,[object Object],
,sv8 -「초전브레이커」,SV8-134,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV8/SV8_134.png,SAR,규리의 눈빛,서포트,,0,미보유,,
,sv4a -「샤이니트레저 ex」,SV4a-349,,https://mtg-kr.com/cardimage/poketcgSV4a-349.png,SAR,리자몽 ex,포켓몬,6,0,미보유,,
,sv2P -「스노해저드」,SV2P-095,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_095.png,SAR,그루샤,서포트,,0,미보유,,
